ID,Name,Manufacturer,Silica type,H,S*,A,B,C (pH 2.8),C (pH 7.0),EB retention factor,USP type,Phase type
684,Primesil ODS-P,Wesley Technologies Inc,EP,0.752,0.09,-0.67,0.042,-0.24,-0.015,8.7,L60,EP
195,Prodigy ODS(2),Phenomenex,B,0.99,0.03,-0.11,0,-0.09,0.23,7.7,L1,C18
196,Prodigy ODS(3),Phenomenex,B,1.02,0.02,-0.13,-0.01,-0.19,-0.13,10.1,L1,C18
207,Prodigy Phenyl-3,Phenomenex,phenyl,0.52,-0.19,0.05,0.02,0.23,1.46,2.3,L11,Phenyl
597,Promosil C18,"Bonna-Agela Technologies, Inc.",B,1.06,0.036,-0.068,-0.012,-0.002,-0.09,11.533,L1,C18
64,ProntoSIL 120 C1,Bischoff,B,0.41,-0.07,-0.08,0.02,0.04,0.65,1.2,C13,C1
83,ProntoSIL 120 C18 ace-EPS,Bischoff,EP,0.77,0.04,-0.59,0.22,-0.3,0.04,8.3,,EP
84,ProntoSIL 120 C18 AQplus,Bischoff,EP,0.94,-0.01,0.21,0.04,-0.13,0.6,9.1,,EP
65,ProntoSIL 120 C18 H,Bischoff,B,1,0,-0.1,0,0.12,0.15,9.7,L1,C18
62,ProntoSIL 120 C18 SH,Bischoff,B,1.03,0.01,-0.1,-0.02,0.11,0.4,8.7,L1,C18
66,ProntoSIL 120 C18-AQ,Bischoff,B,0.97,0,-0.08,0,0.13,0.22,8.1,L1,C18
85,ProntoSIL 120 C8 ace-EPS,Bischoff,EP,0.53,0,-0.85,0.21,-0.28,0.09,3.7,,EP
63,ProntoSIL 120 C8 SH,Bischoff,B,0.73,-0.06,-0.08,0.01,0.07,0.52,4.9,L7,C8
82,ProntoSIL 120 CN EC,Bischoff,CN,0.42,-0.05,-0.32,0.01,0.01,0.76,1.2,L10,CN
88,ProntoSIL 120 Phenyl,Bischoff,phenyl,0.56,-0.15,-0.2,0.02,0.17,0.71,2.5,L11,Phenyl
67,ProntoSIL 120-3-C30,Bischoff,A,0.91,-0.13,0.57,0,0.5,1.78,6.9,L62,C30
86,ProntoSIL 200 C18 ace-EPS,Bischoff,EP,0.76,0.02,-0.56,0.21,0.02,0.14,4.7,,EP
69,ProntoSIL 200 C18 AQ,Bischoff,B,0.97,-0.01,-0.05,0,0.12,0.28,6.3,L1,C18
71,ProntoSIL 200 C18 H,Bischoff,B,0.95,0,-0.12,0.01,0.16,0.21,4.8,L1,C18
72,ProntoSIL 200 C30,Bischoff,A,0.9,-0.09,0.34,0,0.3,1.17,4.4,L62,C30
73,ProntoSIL 200 C4,Bischoff,B,0.54,-0.06,-0.22,0.03,0.08,0.51,1.3,L26,C4
70,ProntoSIL 200 C8 SH,Bischoff,B,0.76,-0.02,-0.19,0.02,0.12,0.23,2.7,L7,C8
87,ProntoSIL 300 C18 ace-EPS,Bischoff,EP,0.76,0.02,-0.57,0.21,-0.05,0.13,2.9,,EP
76,ProntoSIL 300 C30,Bischoff,A,0.89,-0.1,0.32,0.03,0.4,1.54,3,L62,C30
68,ProntoSIL 300 C30 EC,Bischoff,B,0.92,-0.04,-0.01,0.01,0.3,0.45,2.8,L62,C30
77,ProntoSIL 300 C4,Bischoff,B,0.47,-0.09,-0.07,0.05,0.11,0.78,0.6,L26,C4
74,ProntoSIL 300 C8 SH,Bischoff,B,0.73,-0.04,-0.13,0.02,0.15,0.4,1.8,L7,C8
75,ProntoSIL 300-5-C18 H,Bischoff,B,0.95,-0.01,-0.09,0.01,0.23,0.24,3.2,L1,C18
79,ProntoSIL 60 C18 H,Bischoff,B,1.15,0.04,0.06,-0.07,0.1,0.26,12.2,L1,C18
80,ProntoSIL 60 C4,Bischoff,B,0.68,-0.07,0.1,0,-0.05,1.2,4.1,L26,C4
78,ProntoSIL 60 C8 SH,Bischoff,B,0.92,-0.01,0.16,-0.01,-0.31,1,8.4,L7,C8
89,ProntoSIL 60 Phenyl,Bischoff,phenyl,0.7,-0.19,0,-0.01,0.41,1.51,4.5,L11,Phenyl
81,ProntoSIL CN,Bischoff,CN,0.37,-0.11,-0.41,-0.02,0.16,0.66,0.9,L10,CN
90,ProntoSIL HyperSORB 120 ODS,Bischoff,A,0.95,-0.06,0.03,-0.02,0.79,1.31,5.2,L1,C18
91,ProntoSIL SpheriBOND 80 ODS1,Bischoff,A,0.7,-0.19,0.36,0.01,1.45,2.4,3.8,L1,C18
92,ProntoSIL SpheriBOND 80 ODS2,Bischoff,A,1.01,-0.02,0.15,-0.03,0.73,1,7.7,L1,C18
54,Prosphere 100 C18,Grace/Alltech,B,0.88,-0.07,0.3,0.01,0.18,1.51,6.4,L1,C18
53,Prosphere 300 C4,Grace/Alltech,B,0.68,-0.01,-0.05,0.02,0.31,0.68,1,L26,C4
508,Prosphere C18 300A,Grace/Alltech,A,0.9,-0.01,0.17,0.01,0.57,1.26,2.2,L1,C18
456,Proto 300 C18,Higgins Analytical,B,0.96,0.01,-0.13,0,0.22,0.14,2.9,L1,C18
173,Purospher RP-18,Merck KGaA (EMD Millipore)�,B,0.84,0.23,0.15,0.3,-0.96,0.9,4.9,L1,C18
174,Purospher STAR RP18e,Merck KGaA (EMD Millipore)�,B,1,0.01,-0.07,-0.03,0.01,0.04,10.6,L1,C18
282,Pursuit C18,Agilent Technologies/Varian,B,1,0,-0.16,0.01,0.24,0.22,6.2,L1,C18
457,Pursuit DP,Agilent Technologies/Varian,phenyl,0.57,-0.13,-0.53,0.04,0.15,0.26,1.7,,Phenyl
458,Pursuit PFP,Agilent Technologies/Varian,F,0.65,-0.08,-0.25,-0.02,0.05,0.53,2.2,L43,F
459,Pursuit UPS C18,Agilent Technologies/Varian,B,1.06,0.06,-0.05,0,-0.07,0.2,4.6,L1,C18
490,Pursuit XRs C-18,Agilent Technologies/Varian,B,1.04,0.03,-0.12,-0.03,-0.01,-0.1,11.7,L1,C18
491,Pursuit XRs C-8,Agilent Technologies/Varian,B,0.88,0.02,-0.22,0,-0.15,-0.06,8.2,L7,C8
492,Pursuit XRs DP,Agilent Technologies/Varian,phenyl,0.63,-0.13,-0.43,0.03,0.04,0.39,4,,Phenyl
587,Reliasil C18,Orochem,B,0.879,-0.004,0.326,0.048,0.592,0.822,8.97,L1,C18
286,Resolve C18,Waters,A,0.96,-0.12,0.33,-0.04,1.92,2.14,7.9,L1,C18
767,Robusta C18,SepaChrom,B,1.06,-0.002,0.025,-0.025,-0.019,0.203,13.7,L1,C18
197,Selectosil C18,Phenomenex,B,0.91,-0.05,0.03,0,0.29,0.74,7,L1,C18
687,Selectra Aqueous C18,UCT,B,0.78,-0.11,0.011,0.011,0.076,1.15,6.79,L60,EP
688,Selectra C18,UCT,B,1.05,0.032,0.006,-0.017,0.015,0.026,11.8,L1,C18
689,Selectra PFPP,UCT,fluoro,0.674,-0.081,-0.33,-0.033,0.43,1.26,4.63,L43,F
348,Sepax Bio-C18,Sepax Technologies,B,0.91,-0.02,-0.13,0.01,0.21,0.22,2.6,L1,C18
514,Sepax HP-C18(2),Sepax Technologies,B,0.95,-0.02,-0.18,0,-0.13,0.05,11.3,L1,C18
349,SepaxBio-C4,Sepax Technologies,B,0.66,-0.01,-0.29,0.02,0.1,0.22,1.4,L26,C4
350,SepaxBio-C8,Sepax Technologies,B,0.77,-0.02,-0.27,0.02,0.16,0.21,1.6,L7,C8
385,SepaxBR-C18,Sepax Technologies,B,1.01,0.03,-0.07,-0.01,-0.01,0.06,8.2,L1,C18
351,SepaxGP-C18,Sepax Technologies,B,1.01,0.01,-0.11,-0.01,0.1,0.09,9,L1,C18
352,SepaxGP-C4,Sepax Technologies,B,0.69,-0.01,-0.26,0,-0.02,0.2,3.9,L26,C4
386,SepaxGP-C8,Sepax Technologies,B,0.84,0,-0.13,0.01,-0.07,0.26,5.6,L7,C8
353,SepaxGP-Phenyl,Sepax Technologies,phenyl,0.57,-0.11,-0.27,0.02,0.05,0.56,2.6,L11,Phenyl
354,SepaxHP-C18,Sepax Technologies,B,0.95,-0.02,-0.1,0,0.07,0.22,8.5,L1,C18
355,SepaxHP-Cyano,Sepax Technologies,CN,0.42,-0.05,-0.47,0,0,0.75,1.3,L10,CN
750,Shim-pack Arata C18,Shimadzu,B,0.782,0.032,-0.503,0.236,-0.52,0.079,7.6,L1,C18
753,Shim-pack Velox Biphenyl,Shimadzu,B,0.707,-0.19,-0.244,0.046,0.063,1.07,3.2,L11,phenyl
752,Shim-pack Velox C18,Shimadzu,B,1.1,0.051,0.101,-0.034,0.111,0.196,6.6,L1,C18
754,Shim-pack Velox PFPP,Shimadzu,B,0.688,-0.13,0.116,-0.043,0.443,1.59,3,L43,F
751,Shim-pack Velox SP-C18,Shimadzu,B,0.983,-0.045,0.385,0.01,0.106,1.06,6.3,L1,C18
539,Shim-pack XR-C8,Shimadzu,B,0.862,0.01,-0.16,0.017,-0.044,0.217,3.689,L7,C8
540,Shim-pack XR-ODS,Shimadzu,B,1.01,0.032,-0.106,-0.018,-0.061,0.17,5.741,L1,C18
579,Shim-pack XR-ODS II,Shimadzu,B,1.09,0.039,0.076,-0.026,-0.006,0.204,12.85,L1,C18
541,Shim-pack XR-Phenyl,Shimadzu,phenyl,0.705,-0.08,-0.264,0.01,-0.021,0.486,2.656,L11,Phenyl
553,Shodex C18-4D,Showa Denko,B,1.01,0.027,0.021,-0.01,-0.11,0.107,8.207,L1,C18
186,Sphereclone ODS(2),Phenomenex,A,0.97,-0.04,0.27,-0.05,0.86,1.32,7.6,L1,C18
287,Spherisorb C8,Waters,A,0.76,-0.09,-0.03,0.05,0.73,1.14,4.9,L7,C8
288,Spherisorb ODS-1,Waters,A,0.68,-0.18,0.32,0.01,0.84,1.29,4.6,L1,C18
289,Spherisorb ODS-2,Waters,A,0.96,-0.07,0.07,0.03,0.9,1.26,8.3,L1,C18
290,Spherisorb S5 ODSB,Waters,B,0.97,0.02,0.24,0.38,-0.64,1.68,6.9,L1,C18
498,Spursil C18,Dikma Technologies,A,0.96,0,-0.18,-0.04,0.42,0.76,9.1,L1,C18
499,Spursil C18-EP,Dikma Technologies,EP,0.83,0.1,-0.5,0.22,-1.12,0.89,8.9,L60,EP
298,Sunfire C18,Waters,B,1.03,0.03,0.04,-0.01,-0.18,-0.09,9.9,L1,C18
297,Sunfire C8,Waters,B,0.85,0.03,-0.12,0,-0.27,0,5.8,L7,C8
775,Sunniest Biphenyl,Chromanik,B,0.725,-0.11,-0.42,0.0081,0.111,0.059,4.33,L11,phenyl
677,Sunniest C18,Chromanik,B,1.02,0.01,-0.169,-0.023,0.089,0.803,9.62,L1,C18
674,Sunniest C8,Chromanik,B,0.845,0.005,-0.304,-0.002,0.036,-0.018,5.7,L7,C8
678,Sunniest PFP,Chromanik,fluoro,0.615,-0.15,-0.049,-0.04,1.1,1.8,2.97,L43,F
776,Sunniest PFP&C18,Chromanik,B,0.857,-0.12,-0.08,-0.073,0.19,1.13,7.04,L11,phenyl
675,Sunniest PhE,Chromanik,phenyl,0.656,-0.085,-0.469,0.008,0.044,-0.022,3.24,L11,Phenyl
676,Sunniest RP-AQUA,Chromanik,C28,0.958,-0.024,-0.21,-0.008,0.142,0.098,8.49,L62,C28
773,SunShell Biphenyl,Chromanik,B,0.775,-0.11,-0.33,-0.0032,0.062,0.087,3.76,L11,phenyl
670,Sunshell C18,Chromanik,B,1.09,0.028,-0.124,-0.056,-0.043,-0.084,7.79,L1,C18
672,Sunshell C8,Chromanik,B,0.907,0.007,-0.235,-0.028,-0.065,-0.126,4.7,L7,C8
673,Sunshell PFP,Chromanik,fluoro,0.663,-0.176,0.14,-0.076,1.11,2.14,2.46,L43,F
774,SunShell PFP&C18,Chromanik,B,0.887,-0.13,0.013,-0.073,-0.025,1.11,5.45,L11,phenyl
671,Sunshell Phenyl,Chromanik,phenyl,0.813,-0.076,-0.323,-0.017,-0.061,-0.09,4.161,L11,Phenyl
669,Sunshell RP-AQUA,Chromanik,C28,0.898,-0.04,-0.272,0.013,0.127,0.095,4.02,L62,C28
246,Supelcosil LC-18,Supelco,A,1.01,-0.04,0.18,0.16,1.59,1.75,5.9,L1,C18
247,Supelcosil LC-18-DB,Supelco,A,0.97,-0.02,0.04,0.11,0.48,0.53,5.7,L1,C18
248,Supelcosil LC-8,Supelco,A,0.83,-0.04,-0.02,0.08,1.11,1.09,3.6,L7,C8
249,Supelcosil LC-8-DB,Supelco,A,0.81,-0.03,-0.07,0.14,0.44,0.55,3.4,L7,C8
250,Supelcosil LC-PAH,Supelco,A,0.85,-0.02,0.1,-0.03,0.64,0.83,4.4,L1,C18
175,Superspher 100 RP-18e,Merck KGaA (EMD Millipore)�,B,1.03,0.02,-0.02,-0.01,0.35,0.26,9.3,L1,C18
712,Svea C18,Nanologica,B,1.06,0.041,-0.054,-0.028,0.047,-0.031,11.2,L1,C18
714,Svea C4,Nanologica,B,0.73,-0.002,-0.289,0.017,0.042,0.304,4.6,L26,C4
727,Svea C8,Nanologica,B,0.873,0.014,-0.17,0.012,0.029,0.15,7.2,L7,C8
729,Svea CN,Nanologica,CN,0.44,-0.046,-0.65,-0.01,0.01,0.82,1.6,L10,CN
728,Svea PFP,Nanologica,fluoro,0.633,-0.085,-0.26,0.024,0.4,1.28,3.7,L43,F
713,Svea PheHex,Nanologica,phenyl,0.763,-0.09,-0.304,0.011,0.152,0.417,5.5,L11,phenyl
299,Symmetry 300 C18,Waters,B,0.98,0.03,-0.05,0,0.22,0.2,3.5,L1,C18
300,Symmetry 300 C4,Waters,B,0.65,-0.01,-0.42,0.01,0.1,0.18,1.4,L26,C4
301,Symmetry C18,Waters,B,1.05,0.06,0.01,-0.02,-0.3,0.12,9.8,L1,C18
578,Symmetry C4,Waters,B,0.687,-0.012,-0.29,0.022,0.217,0.305,1.41,L26,C4
302,Symmetry C8,Waters,B,0.89,0.04,-0.2,0.02,-0.5,0.28,7,L7,C8
312,SymmetryShield C18,Waters,EP,0.85,0.02,-0.41,0.09,-0.72,0.13,7.3,,EP
313,SymmetryShield C8,Waters,EP,0.73,0,-0.55,0.1,-0.62,0.13,5.7,,EP
99,SynChropak RP8,Eprogen,A,0.63,-0.09,0.1,0.02,0.22,0.94,1.2,L7,C8
100,SynChropak RPP,no longer available,A,0.74,-0.11,0.23,0.03,0.25,1.28,1.8,L1,C18
101,SynChropak RPP 100,no longer available,A,0.91,-0.05,-0.07,0.12,0.22,0.31,5.4,L1,C18
610,Syncronis aQ,Thermo/Hypersil,EP,0.984,-0.004,-0.1,-0.038,0.066,1.08,10.2,L60,EP
608,Syncronis C18,Thermo/Hypersil,B,1.04,-0.003,-0.086,-0.019,-0.026,0.038,13,L1,C18
609,Syncronis C8,Thermo/Hypersil,B,0.84,-0.024,-0.227,0.01,-0.058,0.116,7.99,L7,C8
611,Syncronis Phenyl,Thermo/Hypersil,phenyl,0.75,-0.082,-0.32,0.008,-0.031,0.176,6.36,L11,Phenyl
212,Synergi Fusion-RP,Phenomenex,EP,0.87,-0.03,-0.01,0,-0.23,0.36,7.5,,EP
204,Synergi Hydro-RP,Phenomenex,EP,1.02,0,0.16,-0.04,-0.07,0.26,11.3,L1,EP
198,Synergi Max-RP,Phenomenex,B,0.98,0.02,0,-0.01,-0.13,-0.03,9.5,L1,C18
205,Synergi Polar-RP,Phenomenex,EP,0.65,-0.14,-0.25,0,0.05,0.77,3.9,L1,EP
128,Targa C18,Higgins Analytical,B,0.97,-0.01,-0.07,0,0.01,0.17,8.6,L1,C18
460,Targa C8,Higgins Analytical,B,0.82,-0.02,-0.22,0,-0.02,0.17,6,L7,C8
743,Targetsil C18 HPH,Wesley Technologies Inc,B,0.973,-0.014,-0.084,0.01,0.148,0.208,7.2,L1,C18
744,Targetsil C18 Polar,Wesley Technologies Inc,B,0.778,0.017,-0.463,0.185,-0.301,0.018,7,L1,C18
252,Thermo CN,Thermo/Hypersil,CN,0.4,-0.11,-0.7,0,-0.02,0.49,0.8,L10,CN
645,Titan C18,Supelco,C18,1.01,0.004,-0.084,-0.047,-0.052,0.088,10.11,L1,C18
570,Topsil C18,Welch,B,0.972,-0.011,-0.019,0.009,0.124,0.312,7.37,L1,C18
749,Triart Bio C4,YMC,B,0.673,-0.015,-0.35,0.02,0.13,0.064,1.2,L26,C4
361,TSK-gel ODS-140HTP,Tosoh Bioscience,B,1,0.05,-0.25,-0.03,0.13,0.14,2.8,L1,C18
356,TSKgel CN-80Ts,Tosoh Bioscience,CN,0.37,-0.02,-0.61,0.01,-0.36,0.42,0.9,L10,CN
357,TSKgel Octyl-80Ts,Tosoh Bioscience,B,0.81,0,-0.25,0.01,0.08,0.45,4.4,L7,C8
358,TSKgel ODS-100S,Tosoh Bioscience,B,1.03,0.06,-0.09,-0.03,0,-0.03,8.1,L1,C18
359,TSKgel ODS-100V,Tosoh Bioscience,B,0.9,-0.04,-0.22,0,-0.06,-0.02,9,L1,C18
360,TSKgel ODS-100Z,Tosoh Bioscience,B,1.03,0.01,-0.13,-0.03,-0.06,-0.16,11.6,L1,C18
461,TSKgel ODS-120A,Tosoh Bioscience,B,0.89,-0.03,0.28,0,0.26,0.96,6.5,L1,C18
462,TSKgel ODS-120T,Tosoh Bioscience,B,0.97,0.03,0.11,-0.01,0.19,0.22,6.5,L1,C18
463,TSKgel ODS-80T,Tosoh Bioscience,B,0.96,-0.03,0.14,-0.01,0.16,0.58,8.3,L1,C18
362,TSKgel ODS-80Ts,Tosoh Bioscience,B,0.97,-0.01,-0.13,0,0.01,0.29,8.1,L1,C18
363,TSKgel ODS-80Ts QA,Tosoh Bioscience,B,0.94,-0.03,-0.11,0,0,0.36,7.8,L1,C18
464,TSKgel OligoDNA RP,Tosoh Bioscience,A,0.86,0.02,0.14,0.01,0.31,0.65,3.3,L1,C18
364,TSKgel Super-Octyl,Tosoh Bioscience,B,0.82,0.03,-0.15,0.01,0.12,0.23,2.2,L7,C8
365,TSKgel Super-ODS,Tosoh Bioscience,B,0.99,0.03,-0.04,-0.01,0.15,0.23,3.8,L1,C18
366,TSKgel Super-Phenyl,Tosoh Bioscience,phenyl,0.58,-0.1,-0.14,0.01,0.08,0.67,1,L11,Phenyl
569,Ultimate AQ-C18,Welch,B,0.868,-0.033,-0.055,0.029,0.058,0.363,6.51,L1,C18
731,Ultimate LP-C18,Welch,B,0.913,-0.044,0.16,0.026,0.15,0.77,7.4,L1,C18
735,Ultimate PFP,Welch,fluoro,0.636,-0.1,-0.17,-0.023,0.45,1.1,3.4,L43,F
732,Ultimate Plus C18,Welch,B,0.979,-0.003,-0.12,0.015,0.16,0.17,6.3,L1,C18
734,Ultimate Polar-RP,Welch,B,0.773,0.026,-0.43,0.19,-0.27,0.1,6.4,L60,EP
559,Ultimate XB-C18,Welch,B,1.01,0.011,-0.046,0.001,0.118,0.133,9.39,L1,C18
560,Ultimate XB-C8,Welch,B,0.835,0.001,-0.074,0.028,0.069,0.281,5.55,L7,C8
736,Ultimate XB-CN,Welch,CN,0.394,-0.074,-0.3,0.007,0.092,0.92,1.1,L10,CN
561,Ultimate XB-Phenyl,Welch,phenyl,0.651,-0.108,-0.25,0.032,0.15,0.476,3.45,L11,Phenyl
733,Ultimate XS-C18,Welch,B,0.982,-0.009,0.45,-0.016,0.22,1.2,9.5,L1,C18
566,Ultisil AQ-C18,Welch,B,0.872,-0.037,-0.072,0.031,0.054,0.323,6.61,L1,C18
737,Ultisil LP-C18,Welch,B,0.916,-0.042,0.15,0.026,0.14,0.76,7.6,L1,C18
738,Ultisil Polar-RP,Welch,B,0.773,0.028,-0.44,0.19,-0.25,0.037,6.4,L60,EP
565,Ultisil XB-C18,Welch,B,1.01,0.012,-0.016,0.005,0.118,0.142,9.44,L1,C18
564,Ultisil XB-C8,Welch,B,0.841,0.001,-0.108,0.027,0.063,0.244,5.87,L7,C8
563,Ultisil XB-Phenyl,Welch,phenyl,0.651,-0.108,-0.273,0.032,0.144,0.466,3.53,L11,Phenyl
465,Ultra Aqueous C18,Restek,B,0.8,-0.12,0.37,0.01,0.22,1.25,8.1,L1,C18
538,Ultra Aromax,Restek,phenyl,0.741,-0.179,-0.375,0.021,0.195,0.375,5.6,L11,Phenyl
466,Ultra Biphenyl,Restek,phenyl,0.66,-0.18,-0.28,0.04,0.2,0.72,3.9,L11,Phenyl
467,Ultra C1,Restek,B,0.61,-0.05,-0.4,0.01,-0.03,0.05,3.5,L13,C1
215,Ultra C18,Restek,B,1.05,0.03,-0.03,-0.02,0.05,0,12.2,L1,C18
468,Ultra C4,Restek,B,0.73,-0.01,-0.27,0.01,0.03,0.31,5.2,L26,C4
216,Ultra C8,Restek,B,0.87,0.01,-0.19,0.01,-0.03,-0.07,8.2,L7,C8
469,Ultra Cyano,Restek,CN,0.4,-0.04,-0.8,-0.01,-0.11,0.62,1.6,L10,CN
470,Ultra IBD,Restek,EP,0.67,-0.03,-0.05,0.23,-0.56,0.86,4.6,L68,EP
471,Ultra II Aqueous C18,Restek,B,0.78,-0.15,0.32,0.01,0.46,1.16,7.4,L1,C18
472,Ultra II Aromax,Restek,phenyl,0.73,-0.19,-0.34,0.02,0.47,0.64,5.3,L11,Phenyl
513,Ultra II Biphenyl,Restek,phenyl,0.65,-0.19,-0.27,0.04,0.43,0.76,3.9,L11,Phenyl
473,Ultra II C18,Restek,B,1.04,0.02,-0.03,-0.01,0.26,0.18,10.8,L1,C18
